@relation 'Allegheny_County_Crash_Data_Nominal-weka.filters.supervised.instance.Resample-B0.0-S1-Z33.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R1-4,6-16,18-32,34-55,57-68'

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
2064,0,1893,0,1,1,0.521607,1,0.478393,0.6856,1,1,0.000002
2064,0,1892,1,0.999472,1,0.521739,1,0.478261,0.685714,0.999747,1.000253,0.000003
2064,0,1847,46,0.9757,1,0.527742,1,0.472258,0.690879,0.988375,1.011762,0.000004
2064,0,1835,58,0.969361,1,0.529367,1,0.470633,0.692269,0.985342,1.014876,0.000004
2064,0,1832,61,0.967776,1,0.529774,1,0.470226,0.692617,0.984584,1.015657,0.000005
2064,0,1828,65,0.965663,1,0.530319,1,0.469681,0.693083,0.983573,1.016701,0.000008
2064,0,501,1392,0.264659,1,0.804678,1,0.195322,0.891769,0.648218,1.54269,0.000008
2064,0,490,1403,0.258848,1,0.808144,1,0.191856,0.893893,0.645438,1.549334,0.000009
2064,0,217,1676,0.114633,1,0.904866,1,0.095134,0.950058,0.576447,1.734765,0.000011
2064,0,212,1681,0.111992,1,0.906854,1,0.093146,0.951152,0.575183,1.738576,0.000015
2064,0,196,1697,0.103539,1,0.913274,1,0.086726,0.954672,0.57114,1.750885,0.000021
2064,0,195,1698,0.103011,1,0.913679,1,0.086321,0.954892,0.570887,1.75166,0.000023
2064,0,172,1721,0.090861,1,0.923077,1,0.076923,0.96,0.565075,1.769678,0.120602
2063,1,169,1724,0.089276,0.999516,0.924283,0.999516,0.075717,0.960428,0.564064,1.771991,0.127386
2063,1,167,1726,0.08822,0.999516,0.925112,0.999516,0.074888,0.960876,0.563558,1.77358,0.175623
2063,1,166,1727,0.087691,0.999516,0.925527,0.999516,0.074473,0.961099,0.563306,1.774375,0.207758
2063,1,165,1728,0.087163,0.999516,0.925943,0.999516,0.074057,0.961323,0.563053,1.775172,0.250504
2030,34,40,1853,0.02113,0.983527,0.980676,0.983527,0.019324,0.9821,0.523124,1.880105,0.258494
2030,34,39,1854,0.020602,0.983527,0.98115,0.983527,0.01885,0.982337,0.522871,1.881013,0.262415
2017,47,7,1886,0.003698,0.977229,0.996542,0.977229,0.003458,0.986791,0.511499,1.910521,0.305261
2016,48,6,1887,0.00317,0.976744,0.997033,0.976744,0.002967,0.986784,0.510993,1.911462,0.389913
2016,48,2,1891,0.001057,0.976744,0.999009,0.976744,0.000991,0.987751,0.509982,1.915251,0.481391
2015,49,0,1893,0,0.97626,1,0.97626,0,0.987987,0.509224,1.917151,0.999944
1998,66,0,1893,0,0.968023,1,0.968023,0,0.983752,0.504928,1.917151,0.999947
1990,74,0,1893,0,0.964147,1,0.964147,0,0.981746,0.502906,1.917151,0.999957
1988,76,0,1893,0,0.963178,1,0.963178,0,0.981244,0.502401,1.917151,0.999964
1984,80,0,1893,0,0.96124,1,0.96124,0,0.980237,0.50139,1.917151,0.999977
481,1583,0,1893,0,0.233043,1,0.233043,0,0.377996,0.121557,1.917151,0.999978
460,1604,0,1893,0,0.222868,1,0.222868,0,0.364501,0.11625,1.917151,0.999978
74,1990,0,1893,0,0.035853,1,0.035853,0,0.069224,0.018701,1.917151,0.999978
73,1991,0,1893,0,0.035368,1,0.035368,0,0.06832,0.018448,1.917151,0.99998
72,1992,0,1893,0,0.034884,1,0.034884,0,0.067416,0.018196,1.917151,0.999982
58,2006,0,1893,0,0.028101,1,0.028101,0,0.054665,0.014658,1.917151,0.999988
37,2027,0,1893,0,0.017926,1,0.017926,0,0.035221,0.009351,1.917151,0.999991
29,2035,0,1893,0,0.01405,1,0.01405,0,0.027711,0.007329,1.917151,0.999992
0,2064,0,1893,0,0,?,0,?,?,0,?,1.000002
2064,0,1893,0,1,1,0.521607,1,0.478393,0.6856,1,1,0.000008
2064,0,170,1723,0.089805,1,0.923903,1,0.076097,0.960447,0.564569,1.771262,0.117182
2063,1,167,1726,0.08822,0.999516,0.925112,0.999516,0.074888,0.960876,0.563558,1.77358,0.169416
2050,14,135,1758,0.071315,0.993217,0.938215,0.993217,0.061785,0.964933,0.552186,1.7987,0.277165
2017,47,9,1884,0.004754,0.977229,0.995558,0.977229,0.004442,0.986308,0.512004,1.908635,0.45516
2016,48,2,1891,0.001057,0.976744,0.999009,0.976744,0.000991,0.987751,0.509982,1.915251,0.494686
2015,49,0,1893,0,0.97626,1,0.97626,0,0.987987,0.509224,1.917151,0.999992
0,2064,0,1893,0,0,?,0,?,?,0,?,1.000002
2064,0,1893,0,1,1,0.521607,1,0.478393,0.6856,1,1,0
2064,0,172,1721,0.090861,1,0.923077,1,0.076923,0.96,0.565075,1.769678,0.010469
2064,0,170,1723,0.089805,1,0.923903,1,0.076097,0.960447,0.564569,1.771262,0.142837
2063,1,167,1726,0.08822,0.999516,0.925112,0.999516,0.074888,0.960876,0.563558,1.77358,0.189881
2050,14,135,1758,0.071315,0.993217,0.938215,0.993217,0.061785,0.964933,0.552186,1.7987,0.255423
2050,14,134,1759,0.070787,0.993217,0.938645,0.993217,0.061355,0.96516,0.551933,1.799524,0.265764
2017,47,9,1884,0.004754,0.977229,0.995558,0.977229,0.004442,0.986308,0.512004,1.908635,0.36999
2017,47,8,1885,0.004226,0.977229,0.996049,0.977229,0.003951,0.986549,0.511751,1.909577,0.390942
2017,47,4,1889,0.002113,0.977229,0.998021,0.977229,0.001979,0.987515,0.51074,1.913357,0.402383
2016,48,2,1891,0.001057,0.976744,0.999009,0.976744,0.000991,0.987751,0.509982,1.915251,0.468436
2016,48,1,1892,0.000528,0.976744,0.999504,0.976744,0.000496,0.987993,0.50973,1.916201,0.468813
2015,49,0,1893,0,0.97626,1,0.97626,0,0.987987,0.509224,1.917151,1
0,2064,0,1893,0,0,?,0,?,?,0,?,1.00001
2064,0,1893,0,1,1,0.521607,1,0.478393,0.6856,1,1,0
2064,0,566,1327,0.298996,1,0.784791,1,0.215209,0.879421,0.664645,1.504563,0
2064,0,293,1600,0.154781,1,0.875689,1,0.124311,0.933725,0.595653,1.678829,0.000001
2064,0,290,1603,0.153196,1,0.876805,1,0.123195,0.934359,0.594895,1.680969,0.000001
2064,0,289,1604,0.152668,1,0.877178,1,0.122822,0.934571,0.594642,1.681683,0.000001
2064,0,244,1649,0.128896,1,0.894281,1,0.105719,0.94419,0.58327,1.714471,0.000004
2064,0,221,1672,0.116746,1,0.903282,1,0.096718,0.949184,0.577458,1.731729,0.000005
2064,0,209,1684,0.110407,1,0.908051,1,0.091949,0.95181,0.574425,1.740871,0.000006
2064,0,193,1700,0.101955,1,0.914488,1,0.085512,0.955334,0.570382,1.753212,0.000007
2064,0,177,1716,0.093502,1,0.921017,1,0.078983,0.958885,0.566338,1.76573,0.000021
2064,0,176,1717,0.092974,1,0.921429,1,0.078571,0.959108,0.566085,1.766518,0.000025
2064,0,172,1721,0.090861,1,0.923077,1,0.076923,0.96,0.565075,1.769678,0.125012
2063,1,169,1724,0.089276,0.999516,0.924283,0.999516,0.075717,0.960428,0.564064,1.771991,0.200001
2050,14,137,1756,0.072372,0.993217,0.937357,0.993217,0.062643,0.964479,0.552691,1.797055,0.25532
2050,14,135,1758,0.071315,0.993217,0.938215,0.993217,0.061785,0.964933,0.552186,1.7987,0.259023
2050,14,134,1759,0.070787,0.993217,0.938645,0.993217,0.061355,0.96516,0.551933,1.799524,0.261111
2017,47,9,1884,0.004754,0.977229,0.995558,0.977229,0.004442,0.986308,0.512004,1.908635,0.276893
2017,47,8,1885,0.004226,0.977229,0.996049,0.977229,0.003951,0.986549,0.511751,1.909577,0.285717
2017,47,7,1886,0.003698,0.977229,0.996542,0.977229,0.003458,0.986791,0.511499,1.910521,0.400005
2017,47,3,1890,0.001585,0.977229,0.998515,0.977229,0.001485,0.987757,0.510488,1.914304,0.428574
2016,48,1,1892,0.000528,0.976744,0.999504,0.976744,0.000496,0.987993,0.50973,1.916201,0.5
2015,49,0,1893,0,0.97626,1,0.97626,0,0.987987,0.509224,1.917151,0.994444
2014,50,0,1893,0,0.975775,1,0.975775,0,0.987739,0.508971,1.917151,0.999992
2006,58,0,1893,0,0.971899,1,0.971899,0,0.985749,0.50695,1.917151,0.999993
1998,66,0,1893,0,0.968023,1,0.968023,0,0.983752,0.504928,1.917151,0.999994
1977,87,0,1893,0,0.957849,1,0.957849,0,0.978471,0.499621,1.917151,0.999996
1963,101,0,1893,0,0.951066,1,0.951066,0,0.974919,0.496083,1.917151,0.999996
1946,118,0,1893,0,0.942829,1,0.942829,0,0.970574,0.491787,1.917151,0.999998
1925,139,0,1893,0,0.932655,1,0.932655,0,0.965154,0.48648,1.917151,0.999998
1924,140,0,1893,0,0.932171,1,0.932171,0,0.964895,0.486227,1.917151,0.999999
1922,142,0,1893,0,0.931202,1,0.931202,0,0.964375,0.485722,1.917151,0.999999
1893,171,0,1893,0,0.917151,1,0.917151,0,0.956785,0.478393,1.917151,1
1507,557,0,1893,0,0.730136,1,0.730136,0,0.844021,0.380844,1.917151,1
4,2060,0,1893,0,0.001938,1,0.001938,0,0.003868,0.001011,1.917151,1
0,2064,0,1893,0,0,?,0,?,?,0,?,1.00001
