@relation 'Allegheny_County_Crash_Data_Nominal-weka.filters.supervised.instance.Resample-B0.0-S1-Z33.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R1-16,20-33,35-50,53-55,57-61,65-68-weka.filters.unsupervised.attribute.Reorder-R1,7,3,9,8,6,2,10,4,5,11'

@attribute PROPERTY_DAMAGE_ONLY {NO,YES}
@attribute INJURY_OR_FATAL {NO,YES}
@attribute INJURY {NO,YES}
@attribute MODERATE_INJURY {NO,YES}
@attribute MINOR_INJURY {NO,YES}
@attribute PEDESTRIAN {NO,YES}
@attribute FATAL_OR_MAJ_INJ {NO,YES}
@attribute MAJOR_INJURY {NO,YES}
@attribute MOTORCYCLE {NO,YES}
@attribute UNBELTED {NO,YES}
@attribute MAX_SEVERITY_LEVEL {NoInjury,Injury}

@data
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,YES,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
YES,NO,NO,NO,NO,NO,NO,NO,NO,NO,NoInjury
