@relation 'Allegheny_County_Crash_Data_Nominal-weka.filters.supervised.instance.Resample-B0.0-S1-Z33.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R1-16,20-33,35-50,53-55,57-61,65-68-weka.filters.unsupervised.attribute.Reorder-R1,7,3,9,8,6,2,10,4,5,11'

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
2064,0,1893,0,1,1,0.521607,1,0.478393,0.6856,1,1,0
2064,0,1888,5,0.997359,1,0.522267,1,0.477733,0.68617,0.998736,1.001265,0
2064,0,1887,6,0.99683,1,0.522399,1,0.477601,0.686284,0.998484,1.001519,0
2064,0,1886,7,0.996302,1,0.522532,1,0.477468,0.686398,0.998231,1.001772,0
2064,0,1878,15,0.992076,1,0.523592,1,0.476408,0.687313,0.996209,1.003805,0
2064,0,1877,16,0.991548,1,0.523725,1,0.476275,0.687427,0.995957,1.00406,0
2064,0,1865,28,0.985209,1,0.525325,1,0.474675,0.688804,0.992924,1.007126,0
2064,0,1861,32,0.983096,1,0.52586,1,0.47414,0.689264,0.991913,1.008153,0
2064,0,1860,33,0.982567,1,0.525994,1,0.474006,0.689379,0.99166,1.00841,0
2064,0,1848,45,0.976228,1,0.527607,1,0.472393,0.690763,0.988628,1.011503,0
2064,0,1834,59,0.968833,1,0.529502,1,0.470498,0.692385,0.98509,1.015136,0
2064,0,1794,99,0.947702,1,0.534992,1,0.465008,0.697062,0.974981,1.025661,0
2064,0,1783,110,0.941891,1,0.536522,1,0.463478,0.698359,0.972201,1.028594,0
2064,0,1781,112,0.940835,1,0.536801,1,0.463199,0.698595,0.971696,1.029129,0
2064,0,1780,113,0.940306,1,0.536941,1,0.463059,0.698714,0.971443,1.029396,0
2064,0,1779,114,0.939778,1,0.53708,1,0.46292,0.698832,0.97119,1.029664,0
2064,0,1776,117,0.938193,1,0.5375,1,0.4625,0.699187,0.970432,1.030469,0
2064,0,1750,143,0.924459,1,0.541164,1,0.458836,0.70228,0.963862,1.037493,0
2064,0,1729,164,0.913365,1,0.54416,1,0.45584,0.704798,0.958554,1.043238,0
2064,0,1714,179,0.905441,1,0.546321,1,0.453679,0.706607,0.954764,1.04738,0
2064,0,1679,214,0.886952,1,0.551429,1,0.448571,0.710866,0.945919,1.057173,0
2064,0,1654,239,0.873745,1,0.555137,1,0.444863,0.71394,0.939601,1.064282,0
2064,0,1650,243,0.871632,1,0.555735,1,0.444265,0.714434,0.93859,1.065428,0
2064,0,1649,244,0.871104,1,0.555885,1,0.444115,0.714558,0.938337,1.065715,0
2064,0,1585,308,0.837295,1,0.565634,1,0.434366,0.722563,0.922163,1.084407,0
2064,0,1539,354,0.812995,1,0.572856,1,0.427144,0.728428,0.910538,1.098251,0
2064,0,1189,704,0.628104,1,0.634491,1,0.365509,0.776378,0.822087,1.216416,0
2064,0,804,1089,0.424723,1,0.719665,1,0.280335,0.836983,0.724792,1.379707,0
2064,0,803,1090,0.424194,1,0.719916,1,0.280084,0.837153,0.724539,1.380188,0
