@relation 'Allegheny_County_Crash_Data_Nominal-weka.filters.supervised.instance.Resample-B0.0-S1-Z33.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R1-5,7-16,21-32,36-37,39-50,53-54,57-61,65-66,68'

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
2064,0,1893,0,1,1,0.521607,1,0.478393,0.6856,1,1,0
2064,0,1892,1,0.999472,1,0.521739,1,0.478261,0.685714,0.999747,1.000253,0
2064,0,1891,2,0.998943,1,0.521871,1,0.478129,0.685828,0.999495,1.000506,0
2064,0,1890,3,0.998415,1,0.522003,1,0.477997,0.685942,0.999242,1.000759,0
2064,0,1888,5,0.997359,1,0.522267,1,0.477733,0.68617,0.998736,1.001265,0
2064,0,1886,7,0.996302,1,0.522532,1,0.477468,0.686398,0.998231,1.001772,0
2064,0,1885,8,0.995774,1,0.522664,1,0.477336,0.686513,0.997978,1.002026,0
2064,0,1874,19,0.989963,1,0.524124,1,0.475876,0.687771,0.995198,1.004825,0
2064,0,1873,20,0.989435,1,0.524257,1,0.475743,0.687885,0.994946,1.00508,0
2064,0,1870,23,0.98785,1,0.524657,1,0.475343,0.688229,0.994188,1.005846,0
2064,0,1869,24,0.987322,1,0.52479,1,0.47521,0.688344,0.993935,1.006102,0
2064,0,1868,25,0.986793,1,0.524924,1,0.475076,0.688459,0.993682,1.006358,0
2064,0,1865,28,0.985209,1,0.525325,1,0.474675,0.688804,0.992924,1.007126,0
2064,0,1864,29,0.98468,1,0.525458,1,0.474542,0.688919,0.992671,1.007383,0
2064,0,1861,32,0.983096,1,0.52586,1,0.47414,0.689264,0.991913,1.008153,0
2064,0,1860,33,0.982567,1,0.525994,1,0.474006,0.689379,0.99166,1.00841,0
2064,0,1859,34,0.982039,1,0.526128,1,0.473872,0.689494,0.991408,1.008667,0
2064,0,1856,37,0.980454,1,0.526531,1,0.473469,0.68984,0.990649,1.009439,0
2064,0,1855,38,0.979926,1,0.526665,1,0.473335,0.689955,0.990397,1.009696,0
2064,0,1853,40,0.97887,1,0.526934,1,0.473066,0.690186,0.989891,1.010212,0
2064,0,1852,41,0.978341,1,0.527068,1,0.472932,0.690301,0.989639,1.01047,0
2064,0,1826,67,0.964606,1,0.530591,1,0.469409,0.693315,0.983068,1.017224,0
2064,0,1809,84,0.955626,1,0.53292,1,0.46708,0.695301,0.978772,1.021689,0
2064,0,1804,89,0.952985,1,0.533609,1,0.466391,0.695887,0.977508,1.023009,0
2064,0,1803,90,0.952456,1,0.533747,1,0.466253,0.696004,0.977255,1.023274,0
2064,0,1802,91,0.951928,1,0.533885,1,0.466115,0.696121,0.977003,1.023539,0
2064,0,1801,92,0.9514,1,0.534023,1,0.465977,0.696239,0.97675,1.023803,0
2064,0,1800,93,0.950872,1,0.534161,1,0.465839,0.696356,0.976497,1.024068,0
2064,0,1799,94,0.950343,1,0.5343,1,0.4657,0.696474,0.976245,1.024333,0
2064,0,1798,95,0.949815,1,0.534438,1,0.465562,0.696591,0.975992,1.024599,0
2064,0,1795,98,0.94823,1,0.534854,1,0.465146,0.696944,0.975234,1.025395,0
2064,0,1794,99,0.947702,1,0.534992,1,0.465008,0.697062,0.974981,1.025661,0
2064,0,1790,103,0.945589,1,0.535547,1,0.464453,0.697533,0.97397,1.026725,0
2064,0,1788,105,0.944532,1,0.535826,1,0.464174,0.697769,0.973465,1.027259,0
2064,0,1784,109,0.942419,1,0.536383,1,0.463617,0.698241,0.972454,1.028326,0
2064,0,1783,110,0.941891,1,0.536522,1,0.463478,0.698359,0.972201,1.028594,0
2064,0,1778,115,0.93925,1,0.53722,1,0.46278,0.69895,0.970938,1.029932,0
2064,0,1764,129,0.931854,1,0.539185,1,0.460815,0.700611,0.9674,1.033699,0
2064,0,1747,146,0.922874,1,0.54159,1,0.45841,0.702638,0.963103,1.03831,0
2064,0,1744,149,0.921289,1,0.542017,1,0.457983,0.702997,0.962345,1.039128,0
2064,0,1743,150,0.920761,1,0.542159,1,0.457841,0.703117,0.962092,1.039401,0
2064,0,1742,151,0.920232,1,0.542302,1,0.457698,0.703237,0.96184,1.039674,0
2064,0,1737,156,0.917591,1,0.543015,1,0.456985,0.703836,0.960576,1.041042,0
2064,0,1735,158,0.916535,1,0.543301,1,0.456699,0.704076,0.960071,1.04159,0
2064,0,1733,160,0.915478,1,0.543587,1,0.456413,0.704317,0.959565,1.042139,0
2064,0,1732,161,0.91495,1,0.54373,1,0.45627,0.704437,0.959313,1.042413,0
2064,0,1731,162,0.914422,1,0.543874,1,0.456126,0.704557,0.95906,1.042688,0
2064,0,1730,163,0.913893,1,0.544017,1,0.455983,0.704677,0.958807,1.042963,0
2064,0,1729,164,0.913365,1,0.54416,1,0.45584,0.704798,0.958554,1.043238,0
2064,0,1728,165,0.912837,1,0.544304,1,0.455696,0.704918,0.958302,1.043513,0
2064,0,1727,166,0.912309,1,0.544447,1,0.455553,0.705038,0.958049,1.043788,0
2064,0,1725,168,0.911252,1,0.544735,1,0.455265,0.705279,0.957544,1.044339,0
2064,0,1723,170,0.910195,1,0.545022,1,0.454978,0.70552,0.957038,1.04489,0
2064,0,1719,174,0.908082,1,0.545599,1,0.454401,0.706003,0.956027,1.045995,0
2064,0,1718,175,0.907554,1,0.545743,1,0.454257,0.706124,0.955775,1.046272,0
2064,0,1716,177,0.906498,1,0.546032,1,0.453968,0.706366,0.955269,1.046825,0
2064,0,1715,178,0.905969,1,0.546176,1,0.453824,0.706486,0.955016,1.047102,0
2064,0,1714,179,0.905441,1,0.546321,1,0.453679,0.706607,0.954764,1.04738,0
2064,0,1708,185,0.902272,1,0.54719,1,0.45281,0.707334,0.953247,1.049046,0
2064,0,1701,192,0.898574,1,0.548207,1,0.451793,0.708183,0.951478,1.050996,0
2064,0,1700,193,0.898045,1,0.548353,1,0.451647,0.708305,0.951226,1.051275,0
2064,0,1697,196,0.896461,1,0.54879,1,0.45121,0.70867,0.950468,1.052114,0
2064,0,1691,202,0.893291,1,0.549667,1,0.450333,0.7094,0.948951,1.053795,0
2064,0,1686,207,0.89065,1,0.5504,1,0.4496,0.71001,0.947688,1.0552,0
2064,0,1680,213,0.88748,1,0.551282,1,0.448718,0.710744,0.946171,1.056891,0
2064,0,1679,214,0.886952,1,0.551429,1,0.448571,0.710866,0.945919,1.057173,0
2064,0,1633,260,0.862652,1,0.558291,1,0.441709,0.716542,0.934294,1.070327,0
2064,0,1622,271,0.856841,1,0.559957,1,0.440043,0.717913,0.931514,1.073521,0
2064,0,1619,274,0.855256,1,0.560413,1,0.439587,0.718288,0.930756,1.074396,0
2064,0,1618,275,0.854728,1,0.560565,1,0.439435,0.718413,0.930503,1.074688,0
2064,0,1617,276,0.8542,1,0.560717,1,0.439283,0.718538,0.93025,1.07498,0
