@relation 'Allegheny_County_Crash_Data_Nominal-weka.filters.supervised.instance.Resample-B0.0-S1-Z33.0-no-replacement-weka.filters.unsupervised.attribute.Remove-R1-5,7-16,20-33,35-51,53-55,57-61,65-68'

@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
2064,0,1893,0,1,1,0.521607,1,0.478393,0.6856,1,1,0
2064,0,1892,1,0.999472,1,0.521739,1,0.478261,0.685714,0.999747,1.000253,0
2064,0,1890,3,0.998415,1,0.522003,1,0.477997,0.685942,0.999242,1.000759,0
2064,0,1888,5,0.997359,1,0.522267,1,0.477733,0.68617,0.998736,1.001265,0
2064,0,1887,6,0.99683,1,0.522399,1,0.477601,0.686284,0.998484,1.001519,0
2064,0,1886,7,0.996302,1,0.522532,1,0.477468,0.686398,0.998231,1.001772,0
2064,0,1885,8,0.995774,1,0.522664,1,0.477336,0.686513,0.997978,1.002026,0
2064,0,1874,19,0.989963,1,0.524124,1,0.475876,0.687771,0.995198,1.004825,0
2064,0,1871,22,0.988378,1,0.524524,1,0.475476,0.688115,0.99444,1.005591,0
2064,0,1870,23,0.98785,1,0.524657,1,0.475343,0.688229,0.994188,1.005846,0
2064,0,1866,27,0.985737,1,0.525191,1,0.474809,0.688689,0.993177,1.00687,0
2064,0,1861,32,0.983096,1,0.52586,1,0.47414,0.689264,0.991913,1.008153,0
2064,0,1859,34,0.982039,1,0.526128,1,0.473872,0.689494,0.991408,1.008667,0
2064,0,1858,35,0.981511,1,0.526262,1,0.473738,0.689609,0.991155,1.008924,0
2064,0,1832,61,0.967776,1,0.529774,1,0.470226,0.692617,0.984584,1.015657,0
2064,0,1812,81,0.957211,1,0.532508,1,0.467492,0.694949,0.97953,1.020898,0
2064,0,1807,86,0.954569,1,0.533196,1,0.466804,0.695535,0.978266,1.022216,0
2064,0,1806,87,0.954041,1,0.533333,1,0.466667,0.695652,0.978014,1.022481,0
2064,0,1804,89,0.952985,1,0.533609,1,0.466391,0.695887,0.977508,1.023009,0
2064,0,1803,90,0.952456,1,0.533747,1,0.466253,0.696004,0.977255,1.023274,0
2064,0,1802,91,0.951928,1,0.533885,1,0.466115,0.696121,0.977003,1.023539,0
2064,0,1794,99,0.947702,1,0.534992,1,0.465008,0.697062,0.974981,1.025661,0
2064,0,1776,117,0.938193,1,0.5375,1,0.4625,0.699187,0.970432,1.030469,0
2064,0,1757,136,0.928156,1,0.540173,1,0.459827,0.701444,0.965631,1.035593,0
2064,0,1749,144,0.92393,1,0.541306,1,0.458694,0.702399,0.963609,1.037766,0
2064,0,1748,145,0.923402,1,0.541448,1,0.458552,0.702519,0.963356,1.038038,0
2064,0,1747,146,0.922874,1,0.54159,1,0.45841,0.702638,0.963103,1.03831,0
2064,0,1741,152,0.919704,1,0.542444,1,0.457556,0.703357,0.961587,1.039947,0
2064,0,1739,154,0.918648,1,0.542729,1,0.457271,0.703596,0.961082,1.040494,0
2064,0,1737,156,0.917591,1,0.543015,1,0.456985,0.703836,0.960576,1.041042,0
2064,0,1736,157,0.917063,1,0.543158,1,0.456842,0.703956,0.960323,1.041316,0
2064,0,1735,158,0.916535,1,0.543301,1,0.456699,0.704076,0.960071,1.04159,0
2064,0,1734,159,0.916006,1,0.543444,1,0.456556,0.704197,0.959818,1.041864,0
2064,0,1733,160,0.915478,1,0.543587,1,0.456413,0.704317,0.959565,1.042139,0
2064,0,1732,161,0.91495,1,0.54373,1,0.45627,0.704437,0.959313,1.042413,0
2064,0,1731,162,0.914422,1,0.543874,1,0.456126,0.704557,0.95906,1.042688,0
2064,0,1729,164,0.913365,1,0.54416,1,0.45584,0.704798,0.958554,1.043238,0
2064,0,1721,172,0.909139,1,0.54531,1,0.45469,0.705762,0.956533,1.045443,0
2064,0,1711,182,0.903856,1,0.546755,1,0.453245,0.70697,0.954006,1.048212,0
2064,0,1704,189,0.900158,1,0.547771,1,0.452229,0.707819,0.952237,1.050159,0
2064,0,1702,191,0.899102,1,0.548062,1,0.451938,0.708062,0.951731,1.050717,0
2064,0,1655,238,0.874274,1,0.554988,1,0.445012,0.713816,0.939853,1.063996,0
2064,0,1635,258,0.863708,1,0.557989,1,0.442011,0.716294,0.934799,1.069749,0
2064,0,1632,261,0.862124,1,0.558442,1,0.441558,0.716667,0.934041,1.070617,0
2064,0,1631,262,0.861595,1,0.558593,1,0.441407,0.716791,0.933788,1.070907,0
2064,0,1624,269,0.857898,1,0.559653,1,0.440347,0.717663,0.932019,1.072939,0
2064,0,1615,278,0.853143,1,0.561022,1,0.438978,0.718788,0.929745,1.075564,0
2064,0,1612,281,0.851558,1,0.56148,1,0.43852,0.719164,0.928987,1.076442,0
2064,0,1610,283,0.850502,1,0.561786,1,0.438214,0.719414,0.928481,1.077028,0
2064,0,1609,284,0.849974,1,0.561938,1,0.438062,0.71954,0.928228,1.077321,0
2064,0,1608,285,0.849445,1,0.562092,1,0.437908,0.719665,0.927976,1.077614,0
2064,0,1607,286,0.848917,1,0.562245,1,0.437755,0.719791,0.927723,1.077908,0
2064,0,1603,290,0.846804,1,0.562858,1,0.437142,0.720293,0.926712,1.079084,0
2064,0,1602,291,0.846276,1,0.563011,1,0.436989,0.720419,0.926459,1.079378,0
2064,0,1571,322,0.8299,1,0.567813,1,0.432187,0.724338,0.918625,1.088583,0
2064,0,1548,345,0.81775,1,0.571429,1,0.428571,0.727273,0.912813,1.095515,0
2064,0,1540,353,0.813524,1,0.572697,1,0.427303,0.728299,0.910791,1.097947,0
2064,0,1427,466,0.75383,1,0.591235,1,0.408765,0.743114,0.882234,1.133486,0
2064,0,1311,582,0.692552,1,0.611556,1,0.388444,0.758963,0.852919,1.172444,0
2064,0,1310,583,0.692023,1,0.611737,1,0.388263,0.759103,0.852666,1.172792,0
2064,0,1173,720,0.619651,1,0.637627,1,0.362373,0.778721,0.818044,1.222428,0
2064,0,1001,892,0.52879,1,0.673409,1,0.326591,0.804835,0.774577,1.291028,0
2064,0,986,907,0.520866,1,0.676721,1,0.323279,0.807196,0.770786,1.297377,0
2064,0,983,910,0.519282,1,0.677388,1,0.322612,0.80767,0.770028,1.298654,0
2064,0,974,919,0.514527,1,0.679394,1,0.320606,0.809094,0.767753,1.302502,0
2064,0,972,921,0.513471,1,0.679842,1,0.320158,0.809412,0.767248,1.30336,0
2064,0,858,1035,0.453249,1,0.706366,1,0.293634,0.827918,0.738438,1.354209,0
2064,0,787,1106,0.415742,1,0.723957,1,0.276043,0.839878,0.720495,1.387934,0
2064,0,773,1120,0.408347,1,0.727529,1,0.272471,0.842277,0.716957,1.394783,0
2064,0,757,1136,0.399894,1,0.731655,1,0.268345,0.845036,0.712914,1.402694,0
2064,0,753,1140,0.397781,1,0.732694,1,0.267306,0.845728,0.711903,1.404686,0
